,March_Maha
1999,24.902460269538388
2249,19.873150071477426
2499,10.998445654779161
2749,11.86338610647452
2999,12.190402014526184
3249,12.419844205485683
3499,13.042884879083998
3749,13.436844675357428
3999,13.82972820027395
4249,8.35102961882013
4499,8.368622003013718
4749,7.496085967071136
4999,7.44170032484147
5249,7.325398566271298
5499,7.286885737425709
5749,7.096025698806435
5999,26.661438505881936
6249,22.55917175556582
6499,20.08108853441334
6749,24.36882581071552
6999,21.299030357640046
7249,18.965529849987707
7499,19.73572232437231
7749,17.564515868004943
7999,21.439248207779723
8249,20.595285506204277
8499,20.857346462085786
8749,6.751913218838923
8999,6.791696407548878
9249,6.63035571238462
9499,6.957816809299911
9749,11.6804830368124
9999,11.040717542372235
10249,51.03672283659912
10499,40.33073125751748
10749,39.82675252116447
10999,37.92553776275745
11249,42.038687014558896
11499,42.202599049933795
11749,39.48531688283358
11999,56.02533225023196
12249,10.526461523865828
12499,10.824375268554647
12749,12.108707461875603
12999,10.290839119108485
13249,7.763186330351555
13499,6.832022898536964
13749,6.952949596118347
13999,7.114543176048732
14249,20.56648067711131
14499,22.08358522116105
14749,19.185970449044998
14999,20.02654359881666
15249,18.22298309892416
15499,26.580985545570186
15749,26.582219178332476
15999,28.34649442855395
16249,42.52411952005852
16499,22.924695661079795
16749,22.82186567255515
16999,25.04176404455737
17249,26.51108642588335
17499,13.557953513656027
17749,11.54740768318599
17999,11.513577566478652
18249,12.81065488243691
18499,12.756646966735522
18749,11.908461557157027
18999,12.023812833703992
19249,10.022366343327947
19499,9.971628109885035
19749,9.987951725032218
19999,9.992998156522425
20249,9.79000236614838
20499,9.420493208286732
20749,9.430024340330302
20999,23.632610142362942
21249,24.08222415713446
21499,23.67375339716565
21749,22.754507802354535
21999,20.335421216082544
22249,20.022572823488023
22499,22.150501878063633
22749,23.08503376236757
22999,20.33727907680783
23249,18.834946092079047
23499,17.672039052623774
23749,8.111379087563053
23999,8.41685300542181
24249,9.23319646003338
24499,8.782340670388677
24749,9.196003013142288
24999,13.195276460840386
25249,27.455589228572016
25499,26.85925788368473
25749,26.936547001871727
25999,27.710026951837307
26249,30.04150425678699
26499,27.570723574509366
26749,26.649719305836854
26999,30.1115902479132
27249,14.163688243856749
27499,13.628189656326374
27749,12.18252416663656
27999,12.199252471124831
28249,7.19544941808842
28499,6.922810112686537
28749,7.078684689354517
28999,40.47205335563883
29249,37.892645758422056
29499,32.60685147243617
29749,36.79223694253698
29999,41.54022172785123
30249,34.179645488381986
30499,31.976030652195305
30749,33.552775087501566
30999,13.68941782710756
31249,15.105005507888224
31499,14.925793937256143
31749,16.66789380622123
31999,20.887699288118306
32249,16.626363718093327
32499,17.380300799931934
32749,15.043237335428918
32999,15.227782975601112
33249,14.996718490596903
33499,15.192561715842256
33749,14.67546644090854
33999,14.29216992397249
34249,13.705389344649985
34499,13.643448243574722
34749,15.50703975120544
34999,13.665915518410774
35249,13.57913350980041
35499,11.673611392710638
35749,11.934645203626797
35999,35.44974579035469
36249,35.75168975419146
36499,36.11795869653677
36749,42.83420353042263
36999,36.893210800622086
37249,36.71829260509572
37499,40.552311199540604
37749,39.62171968842667
37999,28.59891256935149
38249,24.244828637235578
38499,23.742739072066662
38749,14.03270175484778
38999,13.460696626028074
39249,13.158881141281332
39499,13.512021530344139
39749,15.763297015227248
39999,15.299356514774843
40249,20.933801956836508
40499,62.74438882917379
40749,61.005268827347194
40999,61.864760427193
41249,66.49981177519976
41499,67.03503610511956
41749,67.60843027735555
41999,74.17499989515757
42249,125.00098409760383
42499,15.265388867738777
42749,14.293587636673802
42999,14.546281425315556
43249,14.46796294935473
43499,13.802710630908063
43749,13.862435342409018
43999,13.63760960015649
44249,15.311288519541552
44499,13.024340038228745
44749,12.993065613682012
44999,15.271279487893468
45249,15.202005054203173
45499,15.795255591493271
45749,15.545295255752722
45999,14.47907430072826
46249,33.4849493470572
46499,26.88382957963065
46749,23.325613614468615
46999,25.33524067208516
47249,25.54945295289533
47499,20.9236675305833
47749,17.874843095556376
47999,54.967848434106756
48249,13.73484813507529
48499,8.507622803736082
48749,8.312082176644745
48999,8.344830170440696
49249,8.608341743524454
49499,8.443797339258722
49749,8.202391450741082
49999,8.177313033192737
50249,8.191936552319264
50499,7.992861195532144
50749,7.6899510613849476
50999,7.529111230422506
51249,6.7480240253075
51499,6.767247663081401
51749,6.645845219635695
51999,27.25441874359494
52249,25.411139653019006
52499,23.674039212881336
52749,26.230521929155366
52999,25.15933498475206
53249,26.158318905873248
53499,28.50060107907111
53749,28.47446167126719
53999,16.74869348331629
54249,15.45701034862397
54499,16.8588997961703
54749,9.208671210906212
54999,9.829568378270052
55249,9.484841057816062
55499,9.394005137221047
55749,14.949386575500359
55999,52.079861611869575
56249,45.71544657086972
56499,36.68238130991791
56749,33.71910106135942
56999,33.93081441977771
57249,41.574093273639306
57499,33.86677553533004
57749,49.829386750423566
57999,10.44499792378003
58249,10.188848307576318
58499,11.12647417842979
58749,11.4335015694347
58999,9.475395830458035
59249,8.865533342021259
59499,8.958134757936616
59749,9.7250568705031
59999,7.621448778646094
60249,7.610728244192906
60499,7.85277538439809
60749,9.896122131023521
60999,10.048615352662576
61249,10.23697531046933
61499,10.558333649942174
61749,7.4933577376857725
61999,8.646056693812547
62249,10.372051362966642
62499,9.806876738721934
62749,11.770932814428853
62999,15.417225049470611
63249,17.98541758229763
63499,17.28633121445131
63749,12.075003014793984
63999,12.464094122501796
64249,12.453485222733011
64499,13.262054407904234
64749,13.010434500548254
64999,12.930827281244394
65249,12.892394101945559
65499,11.00234567754041
65749,10.905569097512391
65999,11.080671315335936
66249,10.95461965894173
66499,10.665673799434416
66749,10.605835542293201
66999,10.485709172940423
67249,45.38449976222876
67499,42.29034960877523
67749,37.24695470016291
67999,33.404516270822434
68249,33.32717918037395
68499,36.80450326933565
68749,44.888586230073365
68999,51.24308246476868
69249,16.125449445189158
69499,14.813785794698674
69749,13.458130876285754
69999,17.83182953982119
70249,18.16733719070717
70499,18.262053395515533
70749,15.434172337005643
70999,25.2925827535989
71249,52.42484917140452
71499,45.36267085755285
71749,34.391560597847636
71999,33.40322543672194
72249,33.56166874796565
72499,33.209752691421585
72749,35.545406468323684
72999,68.56016528988242
73249,18.245414491589646
73499,15.62188108079039
73749,16.253265974756527
73999,15.079661557048617
74249,14.14421886954288
74499,14.040084186755799
74749,11.52468086916789
74999,11.105886923943265
75249,10.641474517947689
75499,10.755466905258826
75749,11.697485771149084
75999,11.140826328384076
76249,11.041516918669574
76499,11.629487452786607
76749,8.63457305970914
76999,8.701762488280483
77249,12.140499931389856
77499,15.036938982893329
77749,18.759966056394706
77999,29.952050260111854
78249,62.67566112391011
78499,65.68567479789706
78749,14.438795937812849
78999,14.29664988605827
79249,14.267002178226948
79499,15.604911380789405
79749,15.536330707570945
79999,15.54171295621434
80249,15.798920422654037
80499,15.259295229778282
80749,15.37785794111777
80999,15.297256192066932
81249,15.484824196616609
81499,14.588341116004763
81749,14.252437372223646
81999,14.052089785433685
82249,50.46757440879617
82499,43.230539447597714
82749,34.86423786371564
82999,30.76331190456288
83249,28.37663613473696
83499,28.158159692192186
83749,29.115575151950313
83999,30.83216401971891
84249,14.534073516247554
84499,14.434600491955786
84749,13.830276191697477
84999,16.80170405991028
85249,15.937237372932039
85499,15.631656577194768
85749,16.354495941357463
85999,16.05845931420802
86249,60.80056305134622
86499,46.551150246536295
86749,48.65827380469166
86999,52.69485263875658
87249,54.61586630627866
87499,66.05012057912316
87749,47.538452369632026
87999,52.25763443514627
88249,45.664814655844786
88499,19.837908838344497
88749,18.545814725553335
88999,19.53290695684469
89249,18.33043932091288
89499,19.99717869600472
89749,19.348967315336445
89999,17.095984539710756
90249,16.444989618878015
90499,17.411386315566013
90749,16.252127018509988
90999,14.79571458508308
91249,13.826767104255392
91499,13.527652745475148
91749,30.488561182342817
91999,27.699493544044827
92249,39.606038823152936
92499,44.444574543854486
92749,39.404794386537894
92999,29.624816879761354
93249,28.52041976627024
93499,161.04038707027777
93749,30.996625225556237
93999,32.496684195339455
94249,32.73902902076084
94499,33.01848436615457
94749,33.16052468256517
94999,33.12198818114966
95249,33.37107818058418
95499,32.76472190181179
95749,33.26751627360869
95999,31.191547201704793
96249,29.42945951569329
96499,29.396375762049267
96749,29.247631447439158
96999,30.479035449490578
97249,30.564498117176786
97499,41.40919197005976
97749,40.122026055460324
97999,38.782534887545715
98249,37.629701123027
98499,37.84984522867892
98749,37.17448170033855
98999,36.97755477803694
99249,38.007421715853596
99499,26.688800806514518
99749,26.05308591177886
99999,26.15823146684236
100249,26.849013124391362
100499,26.007685499622514
100749,26.56233113032042
100999,25.875022370864848
101249,25.184528497242166
101499,93.83876072693823
101749,32.894439323838526
101999,30.51711044303586
102249,26.382945978148367
102499,25.65508242225012
102749,29.813854673146718
102999,28.46430034221756
103249,29.463059097878812
103499,38.606346064308184
103749,24.619591253918188
103999,24.81662005270115
104249,24.049635864050465
104499,24.316037590662013
104749,25.181517075707895
104999,26.50597589027683
105249,26.813280460362005
105499,47.87627153808782
105749,45.62834485267009
105999,43.036137311972766
106249,40.84249200445679
106499,39.10237194523264
106749,35.47858964669407
106999,32.30434607229247
107249,31.340442340200145
107499,21.397972426411574
107749,22.411802924959055
107999,23.966907948659944
108249,27.228673365650078
108499,27.382084538950334
108749,28.49101363143076
108999,24.686970385880635
109249,24.606742320804848
109499,24.3689412940569
109749,26.474858303631706
109999,26.090844545457934
110249,25.96221939914677
110499,26.744090484213785
110749,25.75217962675674
110999,25.71500667394116
111249,25.575056235064554
111499,25.656806213853788
111749,25.871908430311827
111999,25.095483283276057
112249,25.5183345541315
112499,41.78729867784184
112749,38.830015784062844
112999,36.615269120288076
113249,27.941925852693636
113499,24.368603915772425
113749,21.64320468362523
113999,19.675955444060158
114249,16.861082931548136
114499,30.45214561580384
114749,32.49254430710015
114999,35.622058291308434
115249,24.449617444750814
115499,24.38821544706693
115749,25.3622675686573
115999,24.984326333335968
116249,22.193839979967308
116499,20.49528094211815
116749,55.04127641594246
116999,46.59303831157821
117249,38.6966837823189
117499,39.86259995618885
117749,53.13015879581248
117999,62.02865910280551
118249,63.87559992276208
118499,71.88064408443968
118749,21.805545208411093
118999,21.219691404227035
119249,24.487263469203093
119499,23.24325060548197
119749,24.126586024956566
119999,24.99759883794617
120249,25.086163423184143
120499,26.638799809686812
120749,26.25058929949446
120999,27.14479707708024
121249,27.650644124726362
121499,27.719643254700166
121749,27.912206354183834
121999,26.306658351777177
